form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
tedim001,no_stem,1.sg,kei¹,kei¹,kei¹,k ei ⁵,k ei ⁵,unspecified,,,Otsuka2014Tedim,118,tedim
tedim002,no_stem,1.pl.excl,kou³,kou³,kou³,k ou ¹,k ou ¹,unspecified,,,Otsuka2014Tedim,118,tedim
tedim003,no_stem,1.pl.incl,ei¹,ei¹,ei¹,ei ⁵,ei ⁵,unspecified,,,Otsuka2014Tedim,118,tedim
tedim004,no_stem,2.sg,naŋ¹,naŋ¹,naŋ¹,n a ŋ ⁵,n a ŋ ⁵,unspecified,,,Otsuka2014Tedim,118,tedim
tedim005,no_stem,2.pl,nou³,nou³,nou³,n ou ¹,n ou ¹,unspecified,,,Otsuka2014Tedim,118,tedim
tedim006,no_stem,3.sg,a¹maʔ³,a¹maʔ³,a¹maʔ³,a ⁵ m a ʔ ¹,a ⁵ m a ʔ ¹,unspecified,,,Otsuka2014Tedim,118,tedim
tedim007,no_stem,3.pl,a¹mâu³,a¹mâu³,a¹mâu³,a ⁵ m aa u ¹,a ⁵ m aa u ¹,unspecified,,,Otsuka2014Tedim,118,tedim
tedim008,pai²,1.sg.fut.aff,pai² niŋ¹,Σ niŋ¹,Σ+n+iŋ¹,Σ n i ŋ ⁵,Σ + n + i ŋ ⁵,informal,,,Zhou2025Tedim,nopage,tedim
tedim009,pai²,1.sg.fut.aff,pai² diːŋ¹,Σ diːŋ¹,Σ+diːŋ¹,Σ d ii ŋ ⁵,Σ + d ii ŋ ⁵,informal,unspec_par,,Zhou2025Tedim,nopage,tedim
tedim010,pai²,1.sg.fut.aff,ka² pai² diːŋ¹ hiː³,ka² Σ diːŋ¹ hiː³,ka²+Σ+diːŋ¹+hiː³,k a ³ Σ d ii ŋ ⁵ h ii ¹,k a ³ + Σ + d ii ŋ ⁵ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim011,pai²,1.pl.excl.fut.aff,pai² nuːŋ³,Σ nuːŋ³,Σ+nuːŋ³,Σ n uu ŋ ¹,Σ + n uu ŋ ¹,informal,,,Zhou2025Tedim,nopage,tedim
tedim012,pai²,1.pl.excl.fut.aff,pai² diːŋ¹,Σ diːŋ¹,Σ+diːŋ¹,Σ d ii ŋ ⁵,Σ + d ii ŋ ⁵,informal,unspec_par,optional_plural,Zhou2025Tedim,nopage,tedim
tedim013,pai²,1.pl.excl.fut.aff,pai² diːŋ¹ uʔ³,Σ diːŋ¹ uʔ³,Σ+diːŋ¹+uʔ³,Σ d ii ŋ ⁵ u ʔ ¹,Σ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par,,Zhou2025Tedim,nopage,tedim
tedim014,pai²,1.pl.incl.fut.aff,pai² diːŋ¹,Σ diːŋ¹,Σ+diːŋ¹,Σ d ii ŋ ⁵,Σ + d ii ŋ ⁵,informal,unspec_par,optional_plural,Zhou2025Tedim,nopage,tedim
